Evento,ID Evento,Entidade Artista,ID Entidade,Título da Obra,ID Obra,Data da Obra,Dimensão da Obra,Suporte,Técnica
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5155,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5156,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5157,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5158,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5159,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5160,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5161,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18699,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18700,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
24 Bienal de São Paulo,ev_1877,Mira Schendel,ent_miraschendel,Sem Título,semtitulo54563,1964,"50,5X45 ",Pintura,Têmpera sobre Tela
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Objeto gráfico,72169objetografico,1967,100 × 100 cm ,Desenho,datilografia sobre papel entre placas de acrílico
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Objeto gráfico,72170objetografico,1967,50 × 50 cm ,Desenho,óleo e letraset sobre papel entre placas de acrílico
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Que beleza,72178quebeleza,1966,43 × 61 cm ,Desenho,ecoline e bastão de pastel sobre papel
